i,d,w
809314,802315,29
809314,801949,23
809314,801185,55
34664,802315,5
34664,801310,4
34664,801137,39
810226,804301,48
810226,801350,24
810226,801310,77
810226,801137,37
805964,801949,3
805964,801350,3
805964,801310,30
805964,801137,40
807033,804301,3
807033,801350,6
807033,801292,23
913286,802120,27
817191,802120,32
810697,801292,40
814104,802120,8
814104,801815,6
817561,801292,9
809283,802120,5
809283,801137,3
326964,801949,4
42102,801350,13
23715,801350,19
540462,802028,5
540462,801350,22
27792,804301,3
27792,801350,9
818252,801137,55
819236,804301,30
819236,802028,3
819236,801350,59
819236,801310,7
812655,802120,9
164157,801292,3
814465,804301,29
814465,801350,57
814465,801137,7
804428,802120,11
822288,801949,3
822288,800899,9
814550,801815,5
804712,801185,29
815962,801350,7
903314,802315,5
903314,802028,10
807966,801350,37
807966,801310,27
807966,801137,30
807966,804301,51
804376,801350,3
804376,801137,11
802506,801292,29
125469,802120,7
811628,801137,18
810472,804301,76
810472,801350,43
809407,801350,3
808958,801137,14
519400,801292,3
909874,801292,4
811832,801292,3
812138,801949,4
812138,801185,85
811830,801350,16
811830,801137,5
807250,802120,50
807250,800899,74
814006,802120,11
805224,802120,3
1051573091,801292,5
27735,801350,37
813709,801292,28
809794,802120,4
802887,802315,7
802887,802028,5
802887,801949,11
27626,801137,26
816431,801292,6
10664,801350,3
903115,802315,13
903115,801310,62
903115,801137,25
803032,802120,16
803032,801949,3
803032,801292,12
803032,800899,41
906366,802120,31
906655,801815,13
801138,802315,8
801138,801949,110
801138,801185,72
801138,800899,19
