bodyId,type,side,post,nt,group
156607,IN03B088,L,628,gaba,25229
158815,IN06B047,L,1102,glutamate,152548
18701,IN06B055,L,2196,gaba,18677
19356,IN19B071,L,665,acetylcholine,15970
18638,IN19B056,L,2514,acetylcholine,18638
10098,AN02A001,L,9596,glutamate,10098
25135,IN11A034,L,1008,acetylcholine,23561
23571,IN06A075,R,642,gaba,17508
13306,IN06A012,L,1899,gaba,12880
157726,IN06A075,L,395,gaba,17508
11681,IN01A017,R,5274,acetylcholine,11681
18640,IN06B077,R,1779,gaba,18640
18559,IN06B074,R,554,gaba,18559
15744,IN11A018,L,1736,acetylcholine,15744
153286,IN16B059,R,796,glutamate,15269
27161,IN12A018,R,2626,acetylcholine,27161
25470,IN08B008,R,1292,acetylcholine,10598
23755,IN07B081,R,1112,acetylcholine,21703
23563,IN07B081,R,1308,acetylcholine,21703
20462,IN06A002,R,10708,glutamate,13109
18952,IN16B059,R,868,glutamate,15269
16185,IN08B070,R,386,acetylcholine,15713
14224,IN06B017,L,2349,gaba,14224
14029,AN06B014,L,2455,glutamate,12562
13799,IN19B037,R,2295,acetylcholine,13026
13435,INXXX142,L,3307,acetylcholine,12840
13266,IN12A018,R,2972,acetylcholine,13220
13224,IN06B017,L,2181,gaba,13126
12469,AN06B090,R,1471,gaba,12469
12312,IN06B014,L,4990,gaba,11040
10755,IN02A007,R,6969,glutamate,10740
10699,IN17B004,R,4545,gaba,10546
10611,IN08B008,R,1412,acetylcholine,10598
10170,w-cHIN,R,7691,gaba,10170
10105,w-cHIN,R,7938,acetylcholine,10073
167360,IN19B069,R,1469,acetylcholine,19441
155062,IN16B063,R,1173,glutamate,18895
153640,IN03B060,R,1089,gaba,16455
28429,IN07B094,R,557,acetylcholine,28429
27485,IN07B092,R,716,acetylcholine,18680
25219,IN03B061,R,1111,gaba,21830
24241,IN03B066,R,717,gaba,24241
21952,IN19B071,R,550,acetylcholine,15970
21830,IN03B061,R,1498,gaba,21830
21390,IN07B081,R,1073,acetylcholine,21703
20164,IN08B093,R,828,acetylcholine,18211
18680,IN07B092,R,942,acetylcholine,18680
17410,IN19B048,R,1484,acetylcholine,16247
16247,IN19B048,R,1143,acetylcholine,16247
15435,IN02A019,R,2714,glutamate,14448
15390,IN12A035,R,1741,acetylcholine,14639
13593,INXXX173,R,2377,acetylcholine,13593
13288,IN12A012,R,7047,glutamate,12236
12337,AN18B020,R,3010,acetylcholine,12337
12011,INXXX076,R,1583,acetylcholine,12011
163855,IN12A061,R,1684,glutamate,23275
159900,IN06A097,R,1036,glutamate,25261
159288,IN06A128,R,706,gaba,35511
154880,IN16B093,R,919,glutamate,21573
152391,IN06A094,R,801,glutamate,14482
102942,IN02A040,R,1081,glutamate,22301
34902,IN12A061,R,1222,glutamate,34902
30487,IN02A049,R,464,glutamate,27950
28627,IN06A097,R,908,glutamate,25261
25261,IN06A097,R,1032,gaba,25261
25247,IN06A086,R,1086,glutamate,23673
24649,IN12A061,R,1311,glutamate,24649
22354,IN12A054,R,1949,glutamate,19884
22246,IN02A047,R,519,glutamate,22246
22078,IN03B058,R,1553,glutamate,21430
21677,IN06A057,R,1381,glutamate,20348
20726,IN06A057,R,1249,glutamate,16152
20691,IN02A040,R,906,glutamate,20691
20528,IN06A069,R,736,gaba,20528
17855,IN06A086,R,1120,gaba,17855
17801,IN06A042,R,1334,glutamate,16826
17058,IN06A042,R,1216,glutamate,17535
16122,IN11A031,R,1686,glutamate,16122
15697,AN03B039,R,4056,glutamate,15697
14590,IN11B012,R,4449,gaba,14590
13612,IN07B033,R,3573,acetylcholine,13290
10823,AN04A001,R,6595,acetylcholine,10823
40030,IN02A026,R,1739,glutamate,40030
26710,IN12A050,R,1395,glutamate,17273
26584,AN06A092,R,824,glutamate,24036
26198,AN06A095,R,1060,gaba,22338
25992,AN06A092,R,1066,gaba,24036
23265,IN12A058,R,1174,acetylcholine,21099
22191,IN12A050,R,1616,glutamate,17273
20401,IN08B091,R,1214,acetylcholine,20371
19851,IN16B099,R,845,glutamate,19036
19386,IN08B070,R,320,acetylcholine,18063
19342,IN08B070,R,319,acetylcholine,15713
18573,IN06B074,L,518,gaba,18559
17273,IN12A050,R,1545,glutamate,17273
17119,IN08B070,R,507,acetylcholine,17119
16263,IN18B039,R,2750,acetylcholine,16263
16166,IN08B036,R,420,acetylcholine,12316
15990,IN08B036,R,410,acetylcholine,12316
15102,AN06A092,R,1231,gaba,15102
12216,IN01A017,L,5185,acetylcholine,11681
169911,IN03B072,R,1308,glutamate,16770
154996,IN06A116,R,1086,glutamate,23482
103483,IN06A126,R,528,glutamate,30239
102708,IN06A126,R,658,glutamate,30239
30035,AN19B101,L,824,acetylcholine,20863
29817,IN06A116,R,846,glutamate,23482
28909,AN19B101,R,886,acetylcholine,28909
28585,IN06A137,R,413,glutamate,28585
28551,IN06A127,R,759,glutamate,28551
28267,IN11B022,R,1119,gaba,28267
27395,AN19B099,R,869,acetylcholine,23738
26304,IN06A116,R,1020,glutamate,23482
25076,AN19B099,R,766,acetylcholine,24321
23771,IN03B066,R,1418,glutamate,19226
23164,IN11B018,R,889,gaba,20821
21686,AN19B079,R,1210,acetylcholine,18408
21620,IN03B072,R,1392,glutamate,16770
20993,IN03B072,R,1390,glutamate,16770
20376,IN06A124,R,733,glutamate,17638
19321,IN16B089,R,520,glutamate,19321
18200,IN06A045,R,2068,gaba,18200
17535,IN06A042,R,953,glutamate,17535
16783,IN06B017,L,1959,gaba,14345
16155,IN06A022,R,812,glutamate,14254
14532,AN08B079,R,1539,acetylcholine,13312
12228,IN06B042,L,2844,glutamate,12228
159205,IN06A071,R,935,glutamate,159205
159085,IN07B096,R,539,acetylcholine,25379
100784,IN06A108,R,644,gaba,23860
27702,IN07B084,R,1118,acetylcholine,26518
27665,IN11A037,R,1723,glutamate,27665
27244,IN07B086,R,817,glutamate,27244
27203,IN16B099,R,275,glutamate,27042
25192,IN11A031,R,2188,glutamate,25192
19915,IN03B069,R,1570,glutamate,14182
19454,IN03B069,R,1612,glutamate,19454
16622,AN11B012,R,2478,gaba,16622
15449,IN07B086,R,579,glutamate,15449
15132,IN18B020,R,3277,acetylcholine,14479
14026,DNut059,R,1517,gaba,13496
12954,IN06A020,R,4160,gaba,12954
10668,w-cHIN,R,4359,gaba,10510
10632,IN17B004,R,6462,gaba,10601
10468,w-cHIN,R,6095,glutamate,10667
100988,IN07B081,R,1314,acetylcholine,23434
24602,IN07B081,R,1421,acetylcholine,22666
14740,IN06A016,R,1638,gaba,14740
13206,IN06A013,R,2622,gaba,12906
30748,IN11B021,R,661,gaba,29350
25100,IN16B107,R,449,glutamate,25100
24817,IN16B089,R,576,glutamate,20902
24702,AN16B078,R,309,glutamate,19715
24151,IN11B022,R,1395,glutamate,24151
24025,AN16B078,R,367,glutamate,19715
23894,IN03B072,R,1279,glutamate,23894
23529,AN06A080,R,823,gaba,23529
22632,AN19B079,R,1183,acetylcholine,18408
21892,AN19B093,R,768,acetylcholine,21892
21841,AN19B060,R,911,acetylcholine,16587
18931,IN03B063,R,942,gaba,18931
18617,IN03B072,R,1204,glutamate,23894
18384,AN19B059,R,1196,acetylcholine,19461
18367,AN19B061,R,929,acetylcholine,18367
17554,AN19B059,R,1260,acetylcholine,17554
15979,AN19B065,R,1075,acetylcholine,15901
15626,IN19B045,R,1569,acetylcholine,14250
15187,AN18B025,R,2153,acetylcholine,13779
14308,IN06A022,R,487,glutamate,12112
13682,IN06A022,R,500,glutamate,12112
10764,IN19A026,R,4956,gaba,10764
26374,IN16B099,R,275,glutamate,22578
25897,IN11A028,R,2037,glutamate,13738
25012,IN16B099,R,389,glutamate,23548
20131,IN16B066,R,1017,glutamate,19653
12785,INXXX119,L,3302,gaba,12785
158944,IN03B068,R,1037,gaba,156198
153199,IN07B083,R,655,acetylcholine,23825
25051,IN07B079,R,569,acetylcholine,25051
22947,IN07B079,R,663,acetylcholine,17497
22388,IN07B079,R,694,acetylcholine,22388
18736,IN06A053,R,939,gaba,18736
15092,IN01A020,R,4436,acetylcholine,11998
14729,IN07B079,R,605,acetylcholine,14729
14132,IN16B087,R,1178,glutamate,14132
26091,IN16B099,R,279,glutamate,22578
24856,IN03B066,R,622,gaba,24856
14936,IN17A057,R,2013,acetylcholine,14936
21929,IN12A058,R,1117,acetylcholine,17191
15850,IN08B036,R,477,acetylcholine,12316
13539,AN07B024,R,3652,acetylcholine,12821
11111,IN13B008,L,4581,gaba,11111
163217,IN07B094,R,542,acetylcholine,25585
23561,IN11A034,R,668,acetylcholine,23561
22578,IN16B099,R,309,glutamate,22578
17516,IN16B048,R,925,glutamate,17069
159728,IN12A063,L,332,acetylcholine,152294
157443,IN12A035,R,1401,glutamate,14639
166827,AN19B076,R,1033,acetylcholine,21240
102018,IN19B105,R,792,acetylcholine,18783
21504,AN19B079,R,1301,acetylcholine,18662
21498,AN16B078,R,423,glutamate,21498
20506,AN19B074,R,901,acetylcholine,19885
18637,AN19B076,R,894,acetylcholine,18637
18477,IN19B052,R,1221,acetylcholine,18477
17392,IN06A022,R,545,glutamate,14254
15696,IN16B046,R,767,glutamate,15696
15433,IN16B046,R,920,glutamate,15433
164042,IN07B099,R,871,acetylcholine,28331
159206,IN16B104,R,629,glutamate,155337
157193,IN03B060,R,1131,gaba,16455
45116,IN07B099,R,777,acetylcholine,28331
28393,IN07B099,R,687,acetylcholine,28331
22328,IN03B060,R,980,gaba,19368
