i,d,w
20276,10778,12
20276,10064,71
20276,10017,137
25290,10067,6
21600,10766,29
21600,10543,3
21600,10270,8
21430,10766,35
21430,10270,12
20199,10067,28
24555,10055,6
154122,10064,17
24142,10778,3
24142,10067,6
24142,10064,19
24142,10013,5
14996,10055,19
154670,10064,4
154670,10017,16
15880,10521,10
14846,10055,8
24843,10766,3
24843,10067,25
23220,11294,12
23220,10064,15
20051,10055,20
22809,10067,5
22809,10064,20
22809,10017,14
22809,10013,21
162958,11294,5
162958,10778,6
162958,10017,4
20485,10067,6
28291,10131,19
22489,10055,45
40514,10521,8
20102,11294,63
20102,10543,21
14580,10067,31
14314,10055,104
22150,10778,7
22150,10766,8
22150,10521,11
20334,10778,4
20334,10064,67
20334,10017,86
15180,10778,5
15180,10064,145
15180,10017,264
15180,10013,67
154056,10778,102
154056,10766,74
154056,10521,29
154056,10270,7
19663,10055,7
11066,10067,49
24418,10017,5
19588,10766,6
19588,10067,103
102746,10543,19
102746,10521,6
20309,10543,68
20309,10521,32
20309,10270,26
22307,10064,34
22307,10017,19
19498,10055,22
18729,10064,51
18729,10017,11
23725,10055,30
16381,10778,29
16381,10766,45
16381,10521,5
16381,10064,18
21726,10055,8
17199,10270,6
17199,10055,39
21827,10055,38
25142,10521,3
25142,10270,4
25142,10131,25
25142,10013,24
23443,11294,36
23443,10067,6
21631,10067,139
21631,10064,4
21631,10017,16
15536,10778,14
15536,10766,40
15536,10521,14
15536,10064,3
25848,10131,12
12244,11294,152
12244,10064,3
157206,10131,41
157206,10067,3
157206,10064,55
157206,10017,7
157206,10013,20
30168,10270,8
159247,10521,3
23538,10064,6
23538,10017,9
154312,11294,3
154312,10067,20
15970,10055,18
13661,10055,10
24455,10055,9
13573,10778,9
27030,11294,16
27030,10131,4
24402,10270,9
22196,11294,3
22196,10067,12
19433,10067,48
25019,10067,17
23022,11294,10
23022,10064,32
21360,10766,17
21360,10521,3
21360,10270,24
21360,10064,4
20248,10778,4
20248,10766,165
20248,10067,5
11628,10766,5
11628,10270,144
11628,10131,31
10775,10778,4
10775,10766,9
10775,10270,9
11523,10521,6
11523,10270,18
17421,10131,23
17421,10055,7
159683,10064,38
26084,10055,18
101025,11294,3
101025,10067,12
12399,11294,3
12399,10067,3
22417,10055,20
14440,10778,3
14440,10521,3
24068,10067,3
26583,10055,3
26233,10055,9
25352,10055,9
18555,10778,127
18555,10766,7
18555,10064,43
18555,10017,15
18555,10013,3
156848,10055,20
32829,10064,4
14632,10055,16
19226,10064,62
19226,10017,125
