bodyId,type,side,post,nt,group
12092,IN06B013,L,5861,gaba,12092
37455,IN07B092,R,619,acetylcholine,18680
29419,IN07B094,R,480,acetylcholine,29419
23286,IN06A107,R,575,gaba,23286
19606,IN06B076,L,1489,gaba,19606
36880,IN07B083,R,408,acetylcholine,23825
23612,IN03B070,R,1360,gaba,21110
23115,IN07B083,R,558,acetylcholine,21172
23041,IN07B075,R,575,acetylcholine,14219
21303,IN06B077,L,1709,gaba,18640
26295,IN07B086,R,913,acetylcholine,24153
17285,IN06A020,R,3444,gaba,14884
15922,IN12A035,R,1487,glutamate,14639
155683,IN07B096,R,513,acetylcholine,25379
31366,IN03B088,R,458,gaba,25229
26903,IN06A105,R,509,gaba,26903
28915,IN11A037,R,1680,glutamate,27665
24281,IN11A034,R,852,acetylcholine,23561
16168,IN06A033,R,1132,gaba,16168
153994,IN02A043,R,1165,glutamate,23359
19675,IN03B066,R,1729,glutamate,19226
19517,IN03B061,R,1584,glutamate,19517
18886,IN03B060,R,1543,gaba,17704
17715,IN03B061,R,1595,glutamate,17111
17633,IN03B061,R,1921,glutamate,17111
16531,IN03B066,R,1824,glutamate,19226
14379,IN03B066,R,1987,glutamate,14379
12752,IN03B059,R,1427,gaba,12752
23658,IN16B063,R,1009,glutamate,19866
14559,IN02A019,R,2952,glutamate,14559
152681,IN07B083,R,624,acetylcholine,23825
29631,IN07B099,R,646,acetylcholine,28331
159067,IN07B084,R,1024,acetylcholine,24270
158710,IN03B070,R,1263,gaba,14971
18105,IN07B047,R,1494,acetylcholine,18105
20269,IN03B069,R,1705,glutamate,20175
11026,IN17A011,R,4168,acetylcholine,11026
20276,IN03B063,R,992,gaba,19780
21600,IN03B058,R,1365,gaba,21430
21430,IN03B058,R,1590,gaba,21430
154122,IN03B076,R,1055,gaba,22469
24142,IN03B073,R,1060,gaba,20913
154670,IN11B016,R,838,gaba,22869
15880,IN07B039,R,1718,acetylcholine,15771
24843,IN03B075,R,802,gaba,24843
23220,IN03B081,R,778,glutamate,16662
22809,IN03B087,R,956,gaba,22809
162958,IN02A043,R,1219,glutamate,23893
28291,IN07B094,R,482,acetylcholine,25585
40514,IN07B087,R,511,acetylcholine,15656
20102,IN03B074,R,1421,gaba,20102
22150,IN06B077,L,1891,gaba,20519
20334,IN03B063,R,947,gaba,19780
15180,IN06B038,L,2552,gaba,14766
154056,IN19B103,L,656,acetylcholine,26519
24418,IN03B083,R,455,gaba,24418
19588,IN19B062,L,1027,acetylcholine,18484
102746,IN07B064,R,679,acetylcholine,20375
20309,IN07B083,R,708,acetylcholine,14524
22307,IN03B062,R,1021,gaba,19559
18729,IN03B062,R,922,gaba,18729
16381,IN17A067,R,1660,acetylcholine,15824
17199,IN08B068,R,1895,acetylcholine,16269
25142,IN06B077,L,1240,glutamate,25142
23443,IN17A106,R,1094,acetylcholine,23365
21631,AN06B089,L,4336,glutamate,12910
15536,IN06B077,L,1541,gaba,15536
25848,IN07B092,R,372,acetylcholine,18680
12244,AN06B031,L,2628,gaba,12244
157206,IN06B047,L,1076,glutamate,152548
30168,IN07B093,R,419,acetylcholine,25489
159247,IN07B103,R,425,acetylcholine,32520
23538,IN11B016,R,829,gaba,20003
154312,IN06A082,L,590,gaba,18762
13573,IN17B015,R,2645,gaba,13573
27030,IN03B081,R,645,glutamate,23719
24402,IN06A120,R,524,gaba,23739
22196,IN06A082,L,495,gaba,18762
23022,IN03B080,R,940,gaba,17814
21360,IN19B070,R,1459,acetylcholine,20832
20248,IN03B056,R,738,gaba,18639
11628,AN19B024,R,1909,acetylcholine,11628
10775,IN27X007,R,4106,glutamate,10775
11523,IN19B020,R,2452,acetylcholine,11523
17421,IN19B055,R,793,acetylcholine,17421
159683,IN03B080,R,909,gaba,18361
101025,AN19B039,L,2133,acetylcholine,14629
12399,IN06A009,R,4946,gaba,12399
14440,IN06A023,R,1494,gaba,14440
18555,IN03B067,R,913,gaba,18555
32829,IN02A047,R,293,glutamate,17107
19226,IN03B066,R,1879,glutamate,19226
